6/2/2022,70,,,Store Three - B
6/2/2022,55,,,Store Six - B
6/4/2022,95,,,Store Ten - B
6/7/2022,3,,,Store Nine - A
6/7/2022,6,,,Store Eight - B
6/11/2022,83,,,Store Three - A
6/12/2022,80,,,Store Three - B
6/13/2022,53,,,Store Three - B
6/13/2022,44,,,Store Two - A
6/13/2022,0,,,Store Nine - A
6/13/2022,8,,,Store Eight - A
6/14/2022,84,,,Store Two - A
6/16/2022,24,,,Store Three - B
6/18/2022,5,,,Store Eight - B
6/18/2022,7,,,Store Ten - A
6/19/2022,37,,,Store Ten - A
6/19/2022,84,,,Store Three - A
6/29/2022,23,,,Store Eight - A
6/29/2022,84,,,Store Seven - B
6/30/2022,9,,,Store Eleven - A
