6/2/2022,Store Three - B,store three,Three,Food,No,70,Credit
6/2/2022,Store Six - B,store six,Six,Housing,No,55,Credit
6/4/2022,Store Ten - B,store ten,Ten,Utilities,No,95,Credit
6/7/2022,Store Nine - A,store nine,Nine,Education,No,3,Credit
6/7/2022,Store Eight - B,store eight,Eight,Personal,No,6,Credit
6/11/2022,Store Three - A,store three,Three,Food,No,83,Credit
6/12/2022,Store Three - B,store three,Three,Food,No,80,Credit
6/13/2022,Store Three - B,store three,Three,Food,No,53,Credit
6/13/2022,Store Two - A,store two,Two,Misc,No,44,Credit
6/13/2022,Store Nine - A,store nine,Nine,Education,No,0,Credit
6/13/2022,Store Eight - A,store eight,Eight,Personal,No,8,Credit
6/14/2022,Store Two - A,store two,Two,Misc,No,84,Credit
6/16/2022,Store Three - B,store three,Three,Food,No,24,Credit
6/18/2022,Store Eight - B,store eight,Eight,Personal,No,5,Credit
6/18/2022,Store Ten - A,store ten,Ten,Utilities,No,7,Credit
6/19/2022,Store Ten - A,store ten,Ten,Utilities,No,37,Credit
6/19/2022,Store Three - A,store three,Three,Food,No,84,Credit
6/29/2022,Store Eight - A,store eight,Eight,Personal,No,23,Credit
6/29/2022,Store Seven - B,store seven,Seven,Transportation,No,84,Credit
6/30/2022,Store Eleven - A,store eleven,Eleven,Leisure,Yes,9,Credit
